index,name,summary,genre,subgenre,home,audio,title_and_location,date,event_time,venue
586,Fangclub,"NME have recently stated that ""Fangclub are a fully formed thrash pop monster, melodic, frenzied and phenomenal"". Fangclub took a D.I.Y. approach to their burgeoning career by packing themselves off to a house in a coastal village in Kerry to record over 25 tracks. While on one of their first DIY tours, with the band still sleeping in their van, they came to the attention of Universal Music's Irish team. Suitably impressed that Fangclub had already recorded two EPs, not to mention their debut album, Universal signed the band in March 2015. Largely comprising songs from their original D.I.Y. efforts, their second EP, “Coma Happy”, appeared in 2016. Fangclub made their U.K. live debut in 2016 with Welsh group Pretty Vicious, and toured with Twin Atlantic. The album was released in 2017 with Vertigo & Virgin EMI Records to glowing reviews with the band themselves calling it “A love letter to our favourite bands"". The self-titled album was chock-full of raw yet melodic tracks that took their cue from the loud/quiet aesthetic of Pixies. It charted at no.5 and received a nomination for Choice Prize Album Of The Year.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Management, Brand Partnership, Gear Endorsement, Publishing, Sync/Music Supervisors",Rock,Garage,"Dublin, IRELAND",,Fangclub at 720 Club,"Mar 15, 2019",11:00pm-11:40pm,720 Club
587,Farao,"Pure-O, the new LP by Kari Jahnsen --aka Farao --is a prog-pop exposition on the curious dichotomy between beauty and destructiveness in sex and relationships, observing “How so often the thing that sparks our passions is the constant need to hide from one to find the other.” The Berlin-via-Norway musician notes, “I've felt like that. Like an addict seeking a fix.” Farao creates the world of Pure-Owith a neon pool of synthesizers, zither, drums, and soaring vocals, seamlessly referencing ‘90s R&B and the untapped goldmine of Soviet disco.  Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Pop,Avant / Experimental,"Oslo, NORWAY",http://audio.sxsw.com/2019/mp3_by_artist_id/bc8cc4b04843c49d7e32aec04df1fe5a55ea151aa0e85e96b9473f35280c69e7.mp3,Farao at Elysium,"Mar 14, 2019",11:00pm-11:40pm,Elysium
588,Fast Cash Boyz,No description provided for artist.,Hip-Hop / Rap,Hip-Hop / Rap,"Memphis, TN",,Fast Cash Boyz at The Main II,"Mar 14, 2019",10:30pm-10:40pm,The Main II
589,Fatai,"Fatai is an Australian artist who knows no bounds when it comes to her unending vocal capability, song craftsmanship and unique personal character, that leaves crowds speechless.
Blending all the best-bits of soul, r&b and contemporary music, Fatai’s favourite place is face to face with people, where her music brings unity to a room and joy to peoples’ hearts.
Having amassed a global audience in the millions thanks to the beauty of the Internet, Fatai has been taking her sound to different parts of the globe since 2016 to meet with and perform for all the people that have fallen in love with her online.
Fatai is no stranger to the long roads that link stunning cities and towns of North America, the UK, Europe, Australia and New Zealand. Having set out on countless headline and support tours across multiple continents, Fatai is to embark on her biggest tour yet spanning North America, Europe, Australia, New Zealand and the United Kingdom in 2019.
Revisiting cities and exploring new ones, Fatai will be performing new music with a new band - this will be a tour not to miss.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Brand Partnership, Gear Endorsement, Distribution - Worldwide, Publishing",Soul,Pop,"Melbourne, AUSTRALIA",,Fatai at Cheer Up Charlie's Inside,"Mar 14, 2019",9:00pm-9:40pm,Cheer Up Charlie's Inside
590,Fatherson,"Forming in Kilmarnock, Scotland, in early 2010, Fatherson immediately captured hearts with their raw, honest alt-rock sound. Inspired by Scottish stoicism as much as their own personal turmoil, debut album I Am An Island and its 2016 follow-up Open Book were masterclasses in full-throttle rock songwriting, garnering support slots with the likes of Biffy Clyro, Frightened Rabbit, Idlewild and Twin Atlantic, as well as further dates alongside the likes of Kings Of Leon, Augustines and more.Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Rock,Indie Rock,"Glasgow, UK-SCOTLAND",,Fatherson at Seven Grand,"Mar 12, 2019",10:50pm-11:30pm,Seven Grand
591,Faux Ferocious,"Faux Ferocious is Reid, Dylan Jonathan and Terry. Reid plays drums, Dylan plays bass,
Jonathan and Terry play guitar and sing. They love each other and they love you.
Pretty Groovy marks the first studio album from Faux Ferocious and their first LP release with
Burger Records After years of subsistence recording on every broken Tascam machine in
Middle Tennessee, Faux Ferocious took their figure-it-out approach to freak out rock n’ roll and
hit the road to work with audio whiz Drew Vandenberg at the famed Chase Park Transduction in
Athens, GA. They ate together, smelled each other and broke down the ego achieving an
instinctive sound that allows expert musicianship and simple, evocative lyrics to work as one
highlighting the duality of space and constraint.
This record finds the sweet spot. It is angular and arresting, it is fast, it is repetitive, it is
kosmische, it is punk. It drones, it loops and swirls around. It is guitar rock for people who
wonder what it would be like if Ron Asheton and Michael Rother were also in Crazy Horse. The
songs on this album allow each musician to stand out without taking over. The lyrics are clear
and you can follow the thread of each instrument a
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Rock,Psychedelic,"Nashville, TN",http://audio.sxsw.com/2019/mp3_by_artist_id/d61773b83c600758c459adea0a53ad3e2fc4e9eb184fef04c37dd498d1b751ce.mp3,Faux Ferocious at Hotel Vegas Annex,"Mar 16, 2019",7:30pm-8:00pm,Hotel Vegas Annex
592,FAVX,"FAVX is a band that comes from the uprising Madrid scene, and sounds like something in between Noise, Punk, Post Hardcore, Grunge or even Pop. Since 2016 they’ve performed almost 200 times all around Spain, Europe, UK and USA in several tours and headline shows; opening for bands like Girl Band, It It Anita or Mourn among others. 
Their first EP, “Welfare” (Burger Records & Miel de Moscas), came out in january 2018 and has been enough to catch the attention of media such as Vice, Neo2, Binaural o Mondo Sonoro and made it to playlist and charts in Brooklyn Vegan, Spotify or Je Ne Sais Pop. They’ve been described as “one of the most important emerging bands of 2018” by spanish national radio (RNE) and as one of the most interesting live acts of spanish music scene. 
Part of Jagermusic Spain Roster, in the last two years they’ve performed in national and international big festivals like Primavera Club, SXSW, FIB, Low Festival, Monkey Week, Tsunami Xixón, Vida Festival o Winter Seupeur. For 2019, FAVX they’re finishing their first LP and they just got confirmed for SXSW 2019. 
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Management, Gear Endorsement, Distribution - US, Distribution - UK/Europe, Distribution - Worldwide, Other Artists to Tour With, Booking Agent - US, Booking Agent - UK/Europe, Booking Agent - Worldwide",Punk,Noise,"Madrid, SPAIN",http://audio.sxsw.com/2019/mp3_by_artist_id/ba74c4dfce16b2875da8fe4a92f306e48475d86a6409d10b43644a90c0cafb91.mp3,FAVX at Hotel Vegas at Volstead,"Mar 15, 2019",1:10am-1:50am,Volstead
593,Feefa,"Feefa is a bilingual Salvadoran-American artist and songwriter from Los Angeles, CA who began releasing music in 2017 with his debut single “Envidia” which garnered much attention from the Latin American and Hip-Hop communities alike. In 2018, Feefa was named Winner of Best Latin Artist by LA’s #1 party station Mega 96.3 FM for his remix of “Mi Gente” by J. Balvin. Feefa has performed on several stages in Los Angeles and New York, opening up for artists such as Ty Dolla $ign, Nipsey Hussle, Shoreline Mafia and more. He’s collaborated with buzzing new LA artists and producers including: $tupid Young, Ratcheton and Cypress Moreno to name a few. His songwriting credits include Jackie Cruz, known for her role as Flaca on Netflix’s Orange Is The New Black. The Angeleno has even secured a close working relationship with Adidas Soccer as they support and sponsor many events of his. Feefa has been interviewed by several reputable radio shows and podcasts such as Rosecrans Radio, Dash Radio Latino and the Urban Pitch Podcast. - Rosecrans Vic
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Latin Urban,Hip-Hop / Rap,"Los Angeles, CA",,Feefa at ScratcHouse,"Mar 15, 2019",10:10pm-10:20pm,ScratcHouse
594,Feels,"Hailing from Perth Australia, Feels (Elise Reitze and Rosie Taylor) are the most exciting live electronic act to hit the Australia music scene. Feels have received massive industry respect from the likes of Ableton, Triple J and WAM (West Australian Music). The duo have performed at Australian festivals such as ‘Listen Out’, ‘Falls Festival’ &‘Laneway Festival’ while also supporting the likes of Kimbra, Ngaiire, Mansionair and Unknown Mortal Orchestra. Their music releases have featured on Apple Music’s ‘Best of The Week’, Spotify’s ‘Fresh Finds’ , alongside receiving international support from the likes of RedBull and BBC radio 1. The duo received WAM’s 'Best Electronic Producer’ award 2017 and Song of The Year 2017-18. Feels are ""pioneering a whole sound"" (Nina Las Vegas) and “are making some of the most intricate and refined pieces of electronic music to emerge from Australia in, well, ever” (Purple Sneakers).
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.Artist is seeking the following professional connections: Label, Management, Brand Partnership, Gear Endorsement, Distribution - US, Distribution - UK/Europe, Distribution - Worldwide, Other Artists to Tour With, Booking Agent - US, Booking Agent - UK/Europe, Booking Agent - Worldwide, PR/Publicity Agency, Producer/Studio Engineer, Publishing, Sync/Music Supervisors",Electronic,Dance,"Perth, AUSTRALIA",http://audio.sxsw.com/2019/mp3_by_artist_id/08d61b0d647b7711ac0052a945c64a2d69df9bad06696015e20d6d63fe938bb7.mp3,Feels at The Iron Bear,"Mar 16, 2019",11:00pm-11:40pm,The Iron Bear
595,Feli Fame,"Feli Fame is bridging the gap between his hometowns in New Jersey and North Carolina with his distinctive rhymes and crossover lyrics. Credibility is not an issue for this rapper/Film Director &  Film Producer who took the crown as “The Coldest” MC in Coors Light “Search For The Coldest” in 2012 hosted by DJ Drama and legendary hip hop icon Ice Cube. 
Moving to North Carolina at an early age, this rising phenomenon’s exposure to diverse experiences allowed him the opportunity to gain knowledge that has been expressed through his music. After spending time in North Carolina, Feli Fame came back to his birthplace [New Jersey] in attempt to escape the negative path that many young men often fall into; focusing on studies and developing as an artist in his dedication to the art of hip hop. Graduating from high school, he decided to dedicate his time to his rhymes."" Fame’s determination and uniqueness Put his Face Next to 50 cents in his movie ""Before I Self Destruct"" and also Landed his music in the hands of Dipset’s own Cam’ron. And later was Able to Put out an Album with him under the Dipset Imprint.
Feli Fame has also gone on to Release a Documentary With BET Network.
Programming descriptions are generated by participants and do not necessarily reflect the opinions of SXSW.",Hip-Hop / Rap,Hip-Hop / Rap,"newark, NJ",,Feli Fame at The Belmont,"Mar 15, 2019",11:15pm-11:30pm,The Belmont
